feature,importance
num__income_to_loan,0.16400172538589589
num__loan_int_rate,0.15355645686479782
cat__person_home_ownership_RENT,0.13650583665694468
num__dti_ratio,0.12100970603363849
num__person_income,0.07001301657356189
num__log_income,0.05646193148697172
cat__loan_grade_D,0.04883643693196972
num__employment_stability,0.039599090546907745
cat__loan_grade_C,0.02539569946403341
cat__loan_intent_DEBTCONSOLIDATION,0.0252526233266055
cat__loan_intent_MEDICAL,0.024074664839995607
cat__person_home_ownership_OWN,0.01806049502267009
num__total_loan_cost,0.014182219602466767
cat__loan_intent_HOMEIMPROVEMENT,0.013871741675059812
num__person_age,0.013505403598155056
num__loan_percent_income,0.012613113698015021
cat__loan_grade_E,0.00816083745390716
num__risk_profile,0.00734887670443822
num__age_to_cred_hist,0.006515665322004839
cat__loan_intent_VENTURE,0.00418332311476465
cat__person_home_ownership_MORTGAGE,0.004054467965672372
cat__loan_grade_A,0.00397989626492081
cat__loan_grade_G,0.00374896059049833
num__person_emp_length,0.003732736261476493
cat__loan_grade_F,0.003593440192992676
cat__loan_intent_EDUCATION,0.00323416897455908
num__log_loan_amnt,0.0027037051679351934
num__loan_amnt,0.002655632847388585
cat__loan_grade_B,0.0017128816236688582
cat__loan_intent_PERSONAL,0.0016325651762478922
num__cb_person_cred_hist_length,0.001557977103495594
cat__person_home_ownership_OTHER,0.0014140301164653549
cat__age_group_mid_career,0.0006147441458676874
cat__cb_person_default_on_file_Y,0.0005100865161786348
cat__income_quartile_Q2,0.0003348640292887254
cat__cb_person_default_on_file_N,0.00031444898791704477
cat__income_quartile_Q3,0.00030530682003570864
cat__dti_bucket_medium_dti,0.0002570564851307894
cat__age_group_young,0.00020607135213860948
cat__age_group_established,0.00011602184161635645
cat__dti_bucket_high_dti,6.967805665792883e-05
cat__income_quartile_Q1,6.14147222428815e-05
cat__income_quartile_Q4,3.237015260841289e-05
cat__dti_bucket_low_dti,8.61030219181546e-06
cat__dti_bucket_very_high_dti,0.0
cat__age_group_senior,0.0
