Rank,Model,Train Accuracy,Test Accuracy,Train AUC,Test AUC,Train Sensitivity,Test Sensitivity,Train Specificity,Test Specificity,AUC_Gap,Acc_Gap
1,Gradient Boosting,0.9573114298935678,0.9378470080197409,0.9874147576037141,0.9513935097614173,0.9983218992152411,0.9923016186340308,0.8107917474872156,0.7433004231311706,0.036021247842296766,0.01946442187382691
2,Bagging,0.9998071880302329,0.9347624922887107,1.0,0.9376233018931488,1.0,0.9921042242400315,0.9991183212837242,0.729901269393512,0.0623766981068512,0.06504469574152227
3,Random Forest,0.9814514885084066,0.9316779765576805,0.9990681820893659,0.9368974111544258,0.9957553921326687,0.9855902092380576,0.9303473814142127,0.7390691114245416,0.062170770934940056,0.0497735119507261
4,AdaBoost,0.9125019281196977,0.9147131400370142,0.9283555734153167,0.9220126488323105,0.9742362173634075,0.9751283063560995,0.6919414565332392,0.6988716502115656,0.006342924583006226,-0.0022112119173165468
5,Neural Network (MLP),0.9330942464908222,0.9250462677359654,0.9409865859944058,0.9147893086296153,0.9943734267805143,0.9885511251480458,0.7141597601833892,0.6981664315937941,0.026197277364790494,0.008047978754856744
6,Decision Tree,0.9378759833410458,0.9273596545342381,0.9301917680146073,0.9113347675284275,0.9919056315088101,0.98499802605606,0.7448421795097866,0.7214386459802539,0.018857000486179887,0.010516328806807751
7,SVM (RBF),0.8874749344439303,0.8763109191856878,0.9325807339593025,0.9085640768930513,0.914268792260994,0.9070272404263718,0.7917474872156586,0.7665726375176305,0.024016657066251224,0.01116401525824251
8,K-Nearest Neighbors,1.0,0.8858729179518815,1.0,0.8947392305906186,1.0,0.9853928148440584,1.0,0.5303244005641748,0.10526076940938145,0.1141270820481185
9,Logistic Regression,0.8345287675458892,0.8303516347933374,0.8931208877385876,0.89052935663905,0.843048220719609,0.8424792735886301,0.8040909892435196,0.7870239774330042,0.0025915310995375807,0.0041771327525518265
10,SVM (Linear),0.8722813512262841,0.8707587908698334,0.892576562858749,0.8901857957332743,0.9499037559844036,0.9474930911962101,0.5949567977429024,0.5966149506346967,0.002390767125474702,0.0015225603564507084
11,Linear Discriminant Analysis,0.8736695974086072,0.8727637260950031,0.8849855097206112,0.8831336095555591,0.9447707418192587,0.940979076194236,0.6196438017986245,0.6290550070521862,0.0018519001650521005,0.0009058713136040897
12,Quadratic Discriminant Analysis,0.8627950023137436,0.8665946946329426,0.8827443808571463,0.8794893304014652,0.9027688662948522,0.9070272404263718,0.7199788397108093,0.7221438645980254,0.0032550504556811966,-0.0037996923191989662
13,Gaussian Naive Bayes,0.8457118617923801,0.8457742134484886,0.8526366867240561,0.8498213566813687,0.9302107497162035,0.9307145677062771,0.5438194321989067,0.5423131170662906,0.002815330042687414,-6.235165610846138e-05
14,DummyClassifier (Baseline),0.6556763843899429,0.6542257865515114,0.4961045823350715,0.49256193423119476,0.7797245940476778,0.7799052506908803,0.21248457062246517,0.20521861777150915,0.003542648103876722,0.0014505978384314888
